Track ID,Track Name,Artist,Album,Explicit,Spotify URL,Played Date,Played Time,Hour Played,Hour Label,Duration (Minutes)
3GZD6HmiNUhxXYf8Gch723,Lost,Frank Ocean,channel ORANGE,True,https://open.spotify.com/track/3GZD6HmiNUhxXYf8Gch723,2026-08-23,21:18:39,21,9 PM,3.9
0VO8gYVDSwM1Qdd2GsMoYK,Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd",Paradise Again,False,https://open.spotify.com/track/0VO8gYVDSwM1Qdd2GsMoYK,2026-08-23,20:24:18,20,8 PM,3.9
0NUqi0ps17YpLUC3kgsZq0,DIE TRYING,"PARTYNEXTDOOR, Drake, Yebba",$ome $exy $ongs 4 U,True,https://open.spotify.com/track/0NUqi0ps17YpLUC3kgsZq0,2026-08-23,20:08:13,20,8 PM,3.26
6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,Tame Impala,Currents,True,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ,2026-08-23,20:04:57,20,8 PM,3.61
37F0uwRSrdzkBiuj0D5UHI,Reminder,The Weeknd,Starboy,True,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI,2026-08-23,20:01:20,20,8 PM,3.65
3JsydWaf2Ev4ehaLUjj3SY,Confident,"Justin Bieber, Chance the Rapper",Journals,False,https://open.spotify.com/track/3JsydWaf2Ev4ehaLUjj3SY,2026-08-23,19:57:16,19,7 PM,4.14
4m0q0xQ2BNl9SCAGKyfiGZ,Somebody Else,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",True,https://open.spotify.com/track/4m0q0xQ2BNl9SCAGKyfiGZ,2026-08-23,19:53:01,19,7 PM,5.79
61uyGDPJ06MkxJtHgPmuyO,Company,Justin Bieber,Purpose (Deluxe),False,https://open.spotify.com/track/61uyGDPJ06MkxJtHgPmuyO,2026-08-23,19:47:13,19,7 PM,3.47
61uyGDPJ06MkxJtHgPmuyO,Company,Justin Bieber,Purpose (Deluxe),False,https://open.spotify.com/track/61uyGDPJ06MkxJtHgPmuyO,2026-08-23,18:39:57,18,6 PM,3.47
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,I Love You.,False,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,2026-08-23,18:16:52,18,6 PM,4.01
5oO3drDxtziYU2H1X23ZIp,Love On The Brain,Rihanna,ANTI (Deluxe),True,https://open.spotify.com/track/5oO3drDxtziYU2H1X23ZIp,2026-08-23,18:12:09,18,6 PM,3.73
3AWDeHLc88XogCaCnZQLVI,Cry For Me,The Weeknd,Hurry Up Tomorrow,True,https://open.spotify.com/track/3AWDeHLc88XogCaCnZQLVI,2026-08-23,18:08:24,18,6 PM,3.74
7MXVkk9YMctZqd1Srtv4MB,Starboy,"The Weeknd, Daft Punk",Starboy,True,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,2026-08-23,18:01:13,18,6 PM,3.84
6jbYpRPTEFl1HFKHk1IC0m,Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young",CHROMAKOPIA,True,https://open.spotify.com/track/6jbYpRPTEFl1HFKHk1IC0m,2026-08-23,16:44:51,16,4 PM,4.63
6jbYpRPTEFl1HFKHk1IC0m,Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young",CHROMAKOPIA,True,https://open.spotify.com/track/6jbYpRPTEFl1HFKHk1IC0m,2026-08-23,14:29:48,14,2 PM,4.63
