Rank,Artist ID,Artist Name,Time Range
1,6KImCVD70vtIoJWnq6nGn3,Harry Styles,medium_term
2,06HL4z0CvFAxyc27GXpf02,Taylor Swift,medium_term
3,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,medium_term
4,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,medium_term
5,1wRPtKGflJrBx9BmLsSwlU,Pritam,medium_term
6,74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,medium_term
7,6Mv8GjQa7LKUGCAqa9qqdb,Vishal-Shekhar,medium_term
8,3mIj9lX2MWuHmhNCA7LSCW,The 1975,medium_term
9,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,medium_term
10,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,medium_term
11,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,medium_term
12,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,medium_term
13,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,medium_term
14,1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,medium_term
15,0LcJLqbBmaGUft1e9Mm8HV,ABBA,medium_term
