Rank,Track ID,Track Name,Artists,Album,Duration (ms),Time Range,Duration (Minutes),Duration Bucket
1,1DwscornXpj8fmOmYVlqZt,Stateside + Zara Larsson,"PinkPantheress, Zara Larsson",Fancy Some More?,184761,medium_term,3.08,3-4 min
2,1sA1DhT0bLyeICf8NalPS7,Aperture,Harry Styles,"Kiss All The Time. Disco, Occasionally.",311733,medium_term,5.2,5+ min
3,2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",THE TORTURED POETS DEPARTMENT,228965,medium_term,3.82,3-4 min
4,6jfiwkcwt8iYCdkbLukxeI,maggots for brains,Olivia Rodrigo,you seem pretty sad for a girl so in love,240100,medium_term,4.0,4-5 min
5,38iKuyifRL4mQ36F2hIxmF,Everywhere,Fleetwood Mac,Tango in the Night,227364,medium_term,3.79,3-4 min
6,0VV0AMmgLBUhzuFedr3F3e,Dance No More,Harry Styles,"Kiss All The Time. Disco, Occasionally.",194880,medium_term,3.25,3-4 min
7,7gtG45ieyQzKtNKobfLd49,American Girls,Harry Styles,"Kiss All The Time. Disco, Occasionally.",213440,medium_term,3.56,3-4 min
8,6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,210373,medium_term,3.51,3-4 min
9,4B0JvthVoAAuygILe3n4Bs,What Do You Mean?,Justin Bieber,Purpose (Deluxe),205680,medium_term,3.43,3-4 min
10,3fRCAPMMZ8l8P9YKI6OCzD,drop dead,Olivia Rodrigo,you seem pretty sad for a girl so in love,224998,medium_term,3.75,3-4 min
11,3QuRLv8zkIYH31O5VgEpmo,Carla's Song,Harry Styles,"Kiss All The Time. Disco, Occasionally.",253653,medium_term,4.23,4-5 min
12,0QPdjsMOUhwouq1NS3HwfQ,Coming Up Roses,Harry Styles,"Kiss All The Time. Disco, Occasionally.",248866,medium_term,4.15,4-5 min
13,3xClevycpBON8bkyxFbAna,Taste Back,Harry Styles,"Kiss All The Time. Disco, Occasionally.",221653,medium_term,3.69,3-4 min
14,6GteP2UCnpHRWSZTL63QHe,Season 2 Weight Loss,Harry Styles,"Kiss All The Time. Disco, Occasionally.",229560,medium_term,3.83,3-4 min
15,2tyITgmOGVz6rqleDokbEN,Pink Lips,"Meet Bros Anjjan, Khushboo Grewal",Hate Story 2,254826,medium_term,4.25,4-5 min
